"2002-09-11T21:00:00,","0.98195,","0.98195,","0.98195,",0.98195
"2002-09-12T21:00:00,","0.9717,","0.9717,","0.9717,",0.9717
"2002-09-14T21:00:00,","0.9708,","0.9708,","0.9708,",0.9708
"2002-09-15T21:00:00,","0.9692,","0.9692,","0.9692,",0.9692
"2002-09-16T21:00:00,","0.97465,","0.97465,","0.97465,",0.97465
"2002-09-17T21:00:00,","0.97795,","0.97795,","0.97795,",0.97795
"2002-09-18T21:00:00,","0.98665,","0.98665,","0.98665,",0.98665
"2002-09-19T21:00:00,","0.9823,","0.9823,","0.9823,",0.9823
"2002-09-21T21:00:00,","0.9811,","0.9811,","0.9811,",0.9811
"2002-09-22T21:00:00,","0.97815,","0.97815,","0.97815,",0.97815
"2002-09-23T21:00:00,","0.9815,","0.9815,","0.9815,",0.9815
"2002-09-24T21:00:00,","0.9762,","0.9762,","0.9762,",0.9762
"2002-09-25T21:00:00,","0.97665,","0.97665,","0.97665,",0.97665
"2002-09-26T21:00:00,","0.9805,","0.9805,","0.9805,",0.9805
"2002-09-28T21:00:00,","0.981,","0.981,","0.981,",0.981
"2002-09-29T21:00:00,","0.9875,","0.9875,","0.9875,",0.9875
"2002-09-30T21:00:00,","0.9829,","0.9829,","0.9829,",0.9829
"2002-10-01T21:00:00,","0.98695,","0.98695,","0.98695,",0.98695
"2002-10-02T21:00:00,","0.9879,","0.9879,","0.9879,",0.9879
"2002-10-03T21:00:00,","0.9793,","0.9793,","0.9793,",0.9793
"2002-10-05T21:00:00,","0.9797,","0.9797,","0.9797,",0.9797
"2002-10-06T21:00:00,","0.9835,","0.9835,","0.9835,",0.9835
"2002-10-07T21:00:00,","0.9788,","0.9788,","0.9788,",0.9788
"2002-10-08T21:00:00,","0.98975,","0.98975,","0.98975,",0.98975
"2002-10-09T21:00:00,","0.9863,","0.9863,","0.9863,",0.9863
"2002-10-10T21:00:00,","0.9873,","0.9873,","0.9873,",0.9873
"2002-10-12T21:00:00,","0.9872,","0.9872,","0.9872,",0.9872
"2002-10-13T21:00:00,","0.9871,","0.9871,","0.9871,",0.9871
"2002-10-14T21:00:00,","0.9817,","0.9817,","0.9817,",0.9817
"2002-10-15T21:00:00,","0.9814,","0.9814,","0.9814,",0.9814
"2002-10-16T21:00:00,","0.9709,","0.9709,","0.9709,",0.9709
"2002-10-17T21:00:00,","0.9723,","0.9723,","0.9723,",0.9723
"2002-10-19T21:00:00,","0.9724,","0.9724,","0.9724,",0.9724
"2002-10-20T21:00:00,","0.9733,","0.9733,","0.9733,",0.9733
"2002-10-21T21:00:00,","0.9776,","0.9776,","0.9776,",0.9776
"2002-10-22T21:00:00,","0.9765,","0.9765,","0.9765,",0.9765
"2002-10-23T21:00:00,","0.978,","0.978,","0.978,",0.978
"2002-10-24T21:00:00,","0.9761,","0.9761,","0.9761,",0.9761
"2002-10-26T21:00:00,","0.9765,","0.9765,","0.9765,",0.9765
"2002-10-27T22:00:00,","0.9844,","0.9844,","0.9844,",0.9844
"2002-10-28T22:00:00,","0.9836,","0.9836,","0.9836,",0.9836
"2002-10-29T22:00:00,","0.9843,","0.9843,","0.9843,",0.9843
"2002-10-30T22:00:00,","0.9898,","0.9898,","0.9898,",0.9898
"2002-10-31T22:00:00,","0.9967,","0.9967,","0.9967,",0.9967
"2002-11-01T22:00:00,","0.9972,","0.9972,","0.9972,",0.9972
"2002-11-02T22:00:00,","0.9971,","0.9971,","0.9971,",0.9971
"2002-11-03T22:00:00,","0.9977,","0.9977,","0.9977,",0.9977
